"Variables ->","CPI","GDP","S","RS","D4L_CPI_TAR","GDP_RW","CPI_RW","RS_RW","GDP_05","GDP_MINE_05","GDP_10","GDP_MINE_10","GDP_15","GDP_MINE_15","GDP_MINE","GDP_OTH","CPI_seas","CPI_RW_seas","GDP_seas","GDP_05_seas","GDP_10_seas","GDP_15_seas","GDP_MINE_seas","GDP_MINE_05_seas","GDP_MINE_10_seas","GDP_MINE_15_seas","GDP_OTH_seas","GDP_RW_seas","S_seas","L_CPI","L_CPI_RW","L_GDP","L_GDP_05","L_GDP_10","L_GDP_15","L_GDP_MINE","L_GDP_MINE_05","L_GDP_MINE_10","L_GDP_MINE_15","L_GDP_OTH","L_GDP_RW","L_S","L_Z","DLA_CPI","DLA_CPI_RW","DLA_GDP","DLA_GDP_05","DLA_GDP_10","DLA_GDP_15","DLA_GDP_MINE","DLA_GDP_MINE_05","DLA_GDP_MINE_10","DLA_GDP_MINE_15","DLA_GDP_OTH","DLA_GDP_RW","DLA_S","DLA_Z","D4L_CPI","D4L_CPI_RW","D4L_GDP","D4L_GDP_05","D4L_GDP_10","D4L_GDP_15","D4L_GDP_MINE","D4L_GDP_MINE_05","D4L_GDP_MINE_10","D4L_GDP_MINE_15","D4L_GDP_OTH","D4L_GDP_RW","D4L_S","D4L_Z","RR","RR_RW","L_GDP_BAR","L_GDP_GAP","L_GDP_MINE_BAR","L_GDP_MINE_GAP","L_GDP_OTH_BAR","L_GDP_OTH_GAP","RR_BAR","RR_GAP","RR_RW_BAR","RR_RW_GAP","L_GDP_RW_BAR","L_GDP_RW_GAP","L_Z_BAR","L_Z_GAP","DLA_GDP_BAR","DLA_Z_BAR"
"2011Q1",5.17900000e+01,2.94557225e+06,1.24578000e+03,1.08100000e+01,1.00000000e+01,9.89028000e+03,9.08917414e+01,6.06000000e+00,2.77420110e+06,4.41839546e+05,2.94557225e+06,4.57830456e+05,NaN,NaN,4.57830456e+05,2.48774179e+06,5.14258138e+01,9.01812177e+01,4.00099282e+06,3.72558461e+06,3.95457104e+06,NaN,5.64416907e+05,5.10913539e+05,5.72525137e+05,NaN,3.44793733e+06,1.07500791e+04,1.23622136e+03,3.94014026e+02,4.50182118e+02,1.52020531e+03,1.51307343e+03,1.51903827e+03,NaN,1.32435485e+03,1.31439557e+03,1.32578119e+03,NaN,1.50532867e+03,9.28266839e+02,7.11981471e+02,7.68149563e+02,4.77154312e+00,5.43084192e+00,2.41653192e+01,4.71035426e+01,1.03688293e+01,NaN,-1.46397162e+01,3.03138134e+01,-4.76208760e+00,NaN,3.21303297e+01,1.07477496e+02,-1.24831283e+01,-1.18238295e+01,8.35361333e+00,5.10681325e+00,1.75939015e+01,1.17588812e+01,1.80759069e+01,NaN,1.02595264e+01,5.31606251e+00,9.48709898e+00,NaN,1.91663643e+01,3.32035212e+01,-1.41912573e+01,-1.74380573e+01,2.45638667e+00,9.53186749e-01,1.52001222e+03,1.93094182e-01,1.32708396e+03,-2.72911767e+00,1.50431230e+03,1.01637076e+00,1.40889016e+00,1.04749652e+00,2.88503636e+00,-1.93184961e+00,9.15767991e+02,1.24988487e+01,NaN,NaN,1.06744024e+01,NaN
"2011Q2",5.23400000e+01,4.56360422e+06,1.23763333e+03,1.16500000e+01,1.00000000e+01,1.10314200e+04,9.13982809e+01,6.31000000e+00,4.13549761e+06,5.10779302e+05,4.56360422e+06,5.88374023e+05,NaN,NaN,5.88374023e+05,3.97523020e+06,5.13916587e+01,9.15076983e+01,4.21442594e+06,3.85766086e+06,4.21085235e+06,NaN,6.05283201e+05,5.11323100e+05,6.09941894e+05,NaN,3.60962306e+06,1.10785867e+04,1.25016564e+03,3.93947588e+02,4.51642310e+02,1.52540239e+03,1.51655716e+03,1.52531756e+03,NaN,1.33134517e+03,1.31447570e+03,1.33211190e+03,NaN,1.50991139e+03,9.31276940e+02,7.13103133e+02,7.70797856e+02,-2.65753245e-01,5.84077085e+00,2.07883413e+01,1.39348891e+01,2.51171805e+01,NaN,2.79613098e+01,3.20521280e-01,2.53228221e+01,NaN,1.83308698e+01,1.20404025e+01,4.48664652e+00,1.05931706e+01,3.83458080e+00,5.80305040e+00,1.85008964e+01,1.40250671e+01,1.86231683e+01,NaN,1.69384973e+01,9.61013994e+00,1.65709455e+01,NaN,1.87506453e+01,3.37319207e+01,-1.08086566e+01,-8.84018698e+00,7.81541920e+00,5.06949601e-01,1.52268694e+03,2.71545525e+00,1.32977132e+03,1.57384856e+00,1.50698077e+03,2.93061734e+00,1.64195592e+00,6.17346328e+00,2.89581079e+00,-2.38886119e+00,9.19150623e+02,1.21263174e+01,NaN,NaN,1.06988971e+01,NaN
"2011Q3",5.34600000e+01,4.67846837e+06,1.24848333e+03,1.17700000e+01,1.00000000e+01,1.15223500e+04,9.23335425e+01,6.56000000e+00,4.37794336e+06,5.60317556e+05,4.67846837e+06,6.62156797e+05,NaN,NaN,6.62156797e+05,4.01631158e+06,5.37551820e+01,9.26501433e+01,4.38884145e+06,4.10005970e+06,4.35347676e+06,NaN,6.23314847e+05,5.42247072e+05,6.17604760e+05,NaN,3.75524322e+06,1.14983275e+04,1.25208934e+03,3.98444007e+02,4.52883050e+02,1.52945758e+03,1.52265121e+03,1.52864853e+03,NaN,1.33428070e+03,1.32034770e+03,1.33336040e+03,NaN,1.51386636e+03,9.34995687e+02,7.13256891e+02,7.67695934e+02,1.79856776e+01,4.96295835e+00,1.62207595e+01,2.43762116e+01,1.33238774e+01,NaN,1.17421259e+01,2.34880280e+01,4.99400419e+00,NaN,1.58198818e+01,1.48749871e+01,6.15030600e-01,-1.24076886e+01,8.95653647e+00,6.22403822e+00,1.83698856e+01,1.80131141e+01,1.90709484e+01,NaN,5.86018719e+00,3.50894255e+00,5.95319534e+00,NaN,2.05929490e+01,3.47786534e+01,-7.18906408e+00,-9.92156233e+00,2.81346353e+00,3.35961778e-01,1.52534967e+03,4.10791183e+00,1.33253432e+03,1.74638230e+00,1.50962057e+03,4.24578760e+00,1.85773340e+00,9.55730130e-01,2.91676622e+00,-2.58080444e+00,9.22532497e+02,1.24631896e+01,NaN,NaN,1.06509331e+01,NaN
"2011Q4",5.46700000e+01,4.63447538e+06,1.32985333e+03,1.42500000e+01,1.00000000e+01,1.27039600e+04,9.27692151e+01,6.56000000e+00,4.46423277e+06,5.74320033e+05,4.63447538e+06,6.75479837e+05,NaN,NaN,6.75479837e+05,3.95899554e+06,5.56391924e+01,9.30526656e+01,4.17273302e+06,4.00710562e+06,4.22221889e+06,NaN,5.78807735e+05,5.21715629e+05,5.77377929e+05,NaN,3.59366178e+06,1.16880933e+04,1.32003089e+03,4.01888785e+02,4.53316563e+02,1.52440818e+03,1.52035797e+03,1.52558714e+03,NaN,1.32687256e+03,1.31648779e+03,1.32662523e+03,NaN,1.50946822e+03,9.36632594e+02,7.18541042e+02,7.69968819e+02,1.37791122e+01,1.73405220e+00,-2.01976258e+01,-9.17293756e+00,-1.22455949e+01,NaN,-2.96325618e+01,-1.54396333e+01,-2.69406659e+01,NaN,-1.75925517e+01,6.54762841e+00,2.11366031e+01,9.09154303e+00,9.06764492e+00,4.49215583e+00,1.02441985e+01,1.90604264e+01,9.14107308e+00,NaN,-1.14221061e+00,9.67068235e+00,-3.46481813e-01,NaN,1.21721324e+01,3.52351285e+01,3.43878798e+00,-1.13670111e+00,5.18235508e+00,2.06784417e+00,1.52798400e+03,-3.57581940e+00,1.33536708e+03,-8.49451198e+00,1.51221346e+03,-2.74523810e+00,2.05921151e+00,3.12314358e+00,2.94702583e+00,-8.79181655e-01,9.25886275e+02,1.07463187e+01,NaN,NaN,1.05372991e+01,NaN
"2012Q1",5.82100000e+01,3.48156688e+06,1.35637667e+03,1.44200000e+01,1.00000000e+01,1.06938500e+04,9.42795467e+01,6.56000000e+00,3.21520036e+06,4.86661668e+05,3.48156688e+06,5.10786787e+05,NaN,NaN,5.10786787e+05,2.97078009e+06,5.77250208e+01,9.35600933e+01,4.70932359e+06,4.31594512e+06,4.68301955e+06,NaN,6.37559417e+05,5.61095710e+05,6.41086279e+05,NaN,4.10242249e+06,1.16899048e+04,1.34822225e+03,4.05569072e+02,4.53860394e+02,1.53650548e+03,1.52778269e+03,1.53594537e+03,NaN,1.33654028e+03,1.32376468e+03,1.33709193e+03,NaN,1.52270882e+03,9.36648091e+02,7.20654215e+02,7.68945538e+02,1.47211456e+01,2.17532397e+00,4.83892259e+01,2.96988566e+01,4.14329246e+01,NaN,3.86708467e+01,2.91075323e+01,4.18668026e+01,NaN,5.29623902e+01,6.19902664e-02,8.45269563e+00,-4.09312602e+00,1.15550455e+01,3.67827634e+00,1.63001752e+01,1.47092549e+01,1.69070969e+01,NaN,1.21854301e+01,9.36911207e+00,1.13107407e+01,NaN,1.73801475e+01,8.38125205e+00,8.67274396e+00,7.95974756e-01,2.86495446e+00,2.88172366e+00,1.53057606e+03,5.92942086e+00,1.33826480e+03,-1.72452135e+00,1.51474385e+03,7.96497223e+00,2.24997652e+00,6.14977942e-01,2.98409980e+00,-1.02376140e-01,9.29192406e+02,7.45568517e+00,NaN,NaN,1.03682649e+01,NaN
"2012Q2",6.03800000e+01,5.06609788e+06,1.31972333e+03,1.56900000e+01,1.00000000e+01,1.18757400e+04,9.39310087e+01,6.31000000e+00,4.60140638e+06,5.83721952e+05,5.06609788e+06,6.66401446e+05,NaN,NaN,6.66401446e+05,4.39969643e+06,5.96747600e+01,9.40652450e+01,4.68663447e+06,4.29403830e+06,4.69080492e+06,NaN,6.95768044e+05,5.83307554e+05,7.00069549e+05,NaN,3.98577137e+06,1.19628084e+04,1.33689977e+03,4.08890915e+02,4.54398864e+02,1.53602253e+03,1.52727382e+03,1.53611148e+03,NaN,1.34527716e+03,1.32764699e+03,1.34589350e+03,NaN,1.51982414e+03,9.38955782e+02,7.19810860e+02,7.65318809e+02,1.32873736e+01,2.15387931e+00,-1.93182337e+00,-2.03548513e+00,6.64435537e-01,NaN,3.49475433e+01,1.55292347e+01,3.52062551e+01,NaN,-1.15387156e+01,9.23076110e+00,-3.37342002e+00,-1.45069143e+01,1.49433273e+01,2.75655345e+00,1.06201340e+01,1.07166614e+01,1.07939107e+01,NaN,1.39319885e+01,1.31712904e+01,1.37815990e+01,NaN,9.91275117e+00,7.67884171e+00,6.70772732e+00,-5.47904648e+00,7.46672748e-01,3.55344655e+00,1.53310979e+03,2.91274232e+00,1.34121739e+03,4.05977420e+00,1.51719443e+03,2.62971061e+00,2.43556665e+00,-1.68889390e+00,3.02494883e+00,5.28497713e-01,9.32438057e+02,6.51772477e+00,NaN,NaN,1.01348908e+01,NaN
"2012Q3",6.14400000e+01,4.95570254e+06,1.36769667e+03,1.65900000e+01,1.00000000e+01,1.23917000e+04,9.40858581e+01,6.00000000e+00,4.79951328e+06,5.53563035e+05,4.95570254e+06,6.41759062e+05,NaN,NaN,6.41759062e+05,4.31394348e+06,6.18144476e+01,9.43977046e+01,4.60098111e+06,4.47263438e+06,4.57475810e+06,NaN,6.00684801e+05,5.37433668e+05,5.95928771e+05,NaN,3.98402865e+06,1.23362070e+04,1.36918954e+03,4.12413712e+02,4.54751676e+02,1.53417801e+03,1.53134881e+03,1.53360644e+03,NaN,1.33058256e+03,1.31945606e+03,1.32978764e+03,NaN,1.51978041e+03,9.42029388e+02,7.22197426e+02,7.64535391e+02,1.40911866e+01,1.41124799e+00,-7.37806533e+00,1.62999853e+01,-1.00201478e+01,NaN,-5.87783978e+01,-3.27636964e+01,-6.44234150e+01,NaN,-1.74932470e-01,1.22944251e+01,9.54626397e+00,-3.13367462e+00,1.39697045e+01,1.86862587e+00,4.72042784e+00,8.69760480e+00,4.95790436e+00,NaN,-3.69814239e+00,-8.91640658e-01,-3.57275581e+00,NaN,5.91404759e+00,7.03370123e+00,8.94053566e+00,-3.16054298e+00,2.62029549e+00,4.13137413e+00,1.53557279e+03,-1.39477414e+00,1.34421367e+03,-1.36311090e+01,1.51955288e+03,2.27525068e-01,2.62190449e+00,-1.60899906e-03,3.06646963e+00,1.06490450e+00,9.35615053e+02,6.41433467e+00,NaN,NaN,9.85200049e+00,NaN
"2012Q4",6.25300000e+01,5.39120776e+06,1.39316333e+03,1.54700000e+01,1.00000000e+01,1.37370400e+04,9.47203152e+01,6.00000000e+00,5.08915856e+06,6.30913091e+05,5.39120776e+06,7.63383885e+05,NaN,NaN,7.63383885e+05,4.62782388e+06,6.32315781e+01,9.49769263e+01,4.89897463e+06,4.58645677e+06,4.92944085e+06,NaN,6.44572704e+05,5.73168777e+05,6.45338005e+05,NaN,4.27579280e+06,1.25733389e+04,1.38044082e+03,4.14680383e+02,4.55363398e+02,1.54045365e+03,1.53386183e+03,1.54107361e+03,NaN,1.33763429e+03,1.32589355e+03,1.33775295e+03,NaN,1.52684801e+03,9.43933389e+02,7.23015816e+02,7.63698831e+02,9.06668517e+00,2.44688929e+00,2.51025437e+01,1.00520794e+01,2.98686960e+01,NaN,2.82069132e+01,2.57499517e+01,3.18612281e+01,NaN,2.82704017e+01,7.61600461e+00,3.27355942e+00,-3.34623646e+00,1.27915977e+01,2.04683514e+00,1.60454702e+01,1.35038590e+01,1.54864771e+01,NaN,1.07617264e+01,9.40575559e+00,1.11277177e+01,NaN,1.73797859e+01,7.30079528e+00,4.47477475e+00,-6.26998785e+00,2.67840226e+00,3.95316486e+00,1.53795451e+03,2.49914284e+00,1.34724501e+03,-9.61071939e+00,1.52180852e+03,5.03948561e+00,2.81385707e+00,-1.35454808e-01,3.10588922e+00,8.47275643e-01,9.38719295e+02,5.21409396e+00,NaN,NaN,9.52687579e+00,NaN
"2013Q1",6.47900000e+01,3.74248987e+06,1.39701333e+03,1.32700000e+01,8.00000000e+00,1.15342500e+04,9.66022360e+01,6.00000000e+00,3.44200030e+06,5.09176825e+05,3.74248987e+06,5.45412578e+05,NaN,NaN,5.45412578e+05,3.19707729e+06,6.43315627e+01,9.58891843e+01,5.06030907e+06,4.61769237e+06,5.03931623e+06,NaN,6.84948225e+05,5.86100270e+05,6.86151440e+05,NaN,4.39772965e+06,1.26747609e+04,1.38861750e+03,4.16405038e+02,4.56319319e+02,1.54369381e+03,1.53454057e+03,1.54327810e+03,NaN,1.34370985e+03,1.32812462e+03,1.34388536e+03,NaN,1.52965990e+03,9.44736796e+02,7.23606392e+02,7.63520674e+02,6.89861905e+00,3.82368531e+00,1.29606552e+01,2.71492479e+00,8.81793643e+00,NaN,2.43022513e+01,8.92426439e+00,2.45296572e+01,NaN,1.12475539e+01,3.21362840e+00,2.36230416e+00,-7.12629580e-01,1.08359661e+01,2.45892548e+00,7.18832755e+00,6.75787608e+00,7.33273005e+00,NaN,7.16957751e+00,4.35993862e+00,6.79343134e+00,NaN,6.95107686e+00,8.08870481e+00,2.95217688e+00,-5.42486374e+00,2.43403390e+00,3.54107452e+00,1.54024351e+03,3.45029920e+00,1.35029425e+03,-6.58439239e+00,1.52395081e+03,5.70908679e+00,3.01629040e+00,-5.82256503e-01,3.14110018e+00,3.99974347e-01,9.41750691e+02,2.98610504e+00,7.67764293e+02,-4.24361868e+00,9.15602975e+00,NaN
"2013Q2",6.62400000e+01,5.55152374e+06,1.43115333e+03,1.13900000e+01,8.00000000e+00,1.27743900e+04,9.61768467e+01,6.00000000e+00,5.25897427e+06,6.26888032e+05,5.55152374e+06,6.97898958e+05,NaN,NaN,6.97898958e+05,4.85362478e+06,6.57052016e+01,9.63325062e+01,5.14319787e+06,4.91348196e+06,5.15421463e+06,NaN,7.44074482e+05,6.25997196e+05,7.47470555e+05,NaN,4.36973841e+06,1.29013049e+04,1.45371241e+03,4.18517809e+02,4.56780581e+02,1.54531856e+03,1.54074934e+03,1.54553253e+03,NaN,1.35198964e+03,1.33471012e+03,1.35244502e+03,NaN,1.52902137e+03,9.46508374e+02,7.28187585e+02,7.66450356e+02,8.45108691e+00,1.84504752e+00,6.49899142e+00,2.48351017e+01,9.01773955e+00,NaN,3.31191555e+01,2.63420033e+01,3.42386205e+01,NaN,-2.55410884e+00,7.08631137e+00,1.83247688e+01,1.17187294e+01,9.62689443e+00,2.38171753e+00,9.29603125e+00,1.34755228e+01,9.42105605e+00,NaN,6.71248056e+00,7.06313077e+00,6.55152270e+00,NaN,9.19722856e+00,7.55259238e+00,8.37672408e+00,1.13154719e+00,1.76310557e+00,3.61828247e+00,1.54242994e+03,2.88861949e+00,1.35333821e+03,-1.34857187e+00,1.52597236e+03,3.04901523e+00,3.23398586e+00,-1.47088029e+00,3.17052464e+00,4.47757828e-01,9.44712409e+02,1.79596516e+00,7.69498672e+02,-3.04831559e+00,8.74571025e+00,6.93751705e+00
"2013Q3",6.72200000e+01,5.92655545e+06,1.56898333e+03,1.05300000e+01,8.00000000e+00,1.33751600e+04,9.66577072e+01,6.00000000e+00,5.36944868e+06,7.23846463e+05,5.92655545e+06,8.12529225e+05,NaN,NaN,8.12529225e+05,5.11402622e+06,6.76157309e+01,9.69675865e+01,5.44150744e+06,4.98680918e+06,5.44660599e+06,NaN,7.58252790e+05,7.03323343e+05,7.52178635e+05,NaN,4.69983722e+06,1.32839516e+04,1.57014040e+03,4.21384066e+02,4.57437676e+02,1.55095667e+03,1.54223068e+03,1.55105032e+03,NaN,1.35387721e+03,1.34635720e+03,1.35307291e+03,NaN,1.53630384e+03,9.49431194e+02,7.35892032e+02,7.71945642e+02,1.14650267e+01,2.62837989e+00,2.25524337e+01,5.92536609e+00,2.20711624e+01,NaN,7.55027451e+00,4.65883362e+01,2.51157170e+00,NaN,2.91298907e+01,1.16912780e+01,3.08177909e+01,2.19811441e+01,8.97035447e+00,2.68600050e+00,1.67786560e+01,1.08818680e+01,1.74438836e+01,NaN,2.32946486e+01,2.69011389e+01,2.32852694e+01,NaN,1.65234344e+01,7.40180559e+00,1.36946058e+01,7.41025186e+00,1.55964553e+00,3.31399950e+00,1.54450608e+03,6.45059217e+00,1.35634963e+03,-2.47242430e+00,1.52786933e+03,8.43450870e+00,3.47136089e+00,-1.91171536e+00,3.19283473e+00,1.21164767e-01,9.47609482e+02,1.82171142e+00,7.71230399e+02,7.15243428e-01,8.30454301e+00,6.92690800e+00
"2013Q4",7.00000000e+01,5.87501927e+06,1.69855667e+03,1.05400000e+01,8.00000000e+00,1.47965200e+04,9.74617347e+01,6.00000000e+00,5.71400804e+06,8.61100078e+05,5.87501927e+06,1.00422166e+06,NaN,NaN,1.00422166e+06,4.87079761e+06,7.05076826e+01,9.76861422e+01,5.39578474e+06,5.16055085e+06,5.37114130e+06,NaN,8.32220880e+05,7.82756751e+05,8.35888566e+05,NaN,4.56084846e+06,1.35123508e+04,1.68085726e+03,4.25572168e+02,4.58175971e+02,1.55011286e+03,1.54565539e+03,1.54965510e+03,NaN,1.36318532e+03,1.35705773e+03,1.36362506e+03,NaN,1.53330192e+03,9.51135942e+02,7.42705921e+02,7.75309724e+02,1.67524062e+01,2.95317830e+00,-3.37523165e+00,1.36988263e+01,-5.58089682e+00,NaN,3.72324240e+01,4.28021008e+01,4.22085870e+01,NaN,-1.20076813e+01,6.81899387e+00,2.72555563e+01,1.34563283e+01,1.08917847e+01,2.81257276e+00,9.65921217e+00,1.17935547e+01,8.58148538e+00,NaN,2.55510263e+01,3.11641762e+01,2.58721091e+01,NaN,6.45391361e+00,7.20255290e+00,1.96901050e+01,1.16108931e+01,-3.51784738e-01,3.18742724e+00,1.54646601e+03,3.64684685e+00,1.35930039e+03,3.88493061e+00,1.52963983e+03,3.66209083e+00,3.73191365e+00,-4.08369839e+00,3.20698241e+00,-1.95551634e-02,9.50448067e+02,6.87874815e-01,7.72954916e+02,2.35480823e+00,7.83974960e+00,6.89806912e+00
"2014Q1",7.28100000e+01,4.02492521e+06,1.74624667e+03,1.05700000e+01,8.00000000e+00,1.24032700e+04,9.87666667e+01,6.00000000e+00,3.69702414e+06,6.48182003e+05,4.02492521e+06,6.53506273e+05,NaN,NaN,6.53506273e+05,3.37141894e+06,7.24667258e+01,9.80760501e+01,5.44032550e+06,4.96118260e+06,5.43161711e+06,NaN,8.24748267e+05,7.45942026e+05,8.24233296e+05,NaN,4.62048210e+06,1.36606854e+04,1.73345793e+03,4.28312750e+02,4.58574320e+02,1.55093495e+03,1.54171547e+03,1.55077475e+03,NaN,1.36228335e+03,1.35224032e+03,1.36222089e+03,NaN,1.53460096e+03,9.52227731e+02,7.45787350e+02,7.76048919e+02,1.09623303e+01,1.59339614e+00,3.28833899e+00,-1.57596752e+01,4.47859279e+00,NaN,-3.60787095e+00,-1.92696403e+01,-5.61667740e+00,NaN,5.19615116e+00,4.36715629e+00,1.23257136e+01,2.95677950e+00,1.19077125e+01,2.25500046e+00,7.24113312e+00,7.17490475e+00,7.49664947e+00,NaN,1.85734958e+01,2.41157000e+01,1.83355255e+01,NaN,4.94106293e+00,7.49093488e+00,2.21809574e+01,1.25282453e+01,-1.33771254e+00,3.74499954e+00,1.54830788e+03,2.62706748e+00,1.36216080e+03,1.22549739e-01,1.53128720e+03,3.31375773e+00,4.01794747e+00,-5.35566001e+00,3.21199537e+00,5.33004173e-01,9.53235459e+02,-1.00772789e+00,7.74668113e+02,1.38080598e+00,7.36745649e+00,6.85278851e+00
"2014Q2",7.53000000e+01,6.06001208e+06,1.80727667e+03,1.05600000e+01,8.00000000e+00,1.37477300e+04,9.82333333e+01,6.00000000e+00,NaN,NaN,6.06001208e+06,7.36059938e+05,NaN,NaN,7.36059938e+05,5.32395214e+06,7.47157534e+01,9.84026894e+01,5.58775228e+06,NaN,5.64055559e+06,NaN,8.03448355e+05,NaN,8.05977076e+05,NaN,4.75195884e+06,1.38974833e+04,1.83985054e+03,4.31369096e+02,4.58906813e+02,1.55360877e+03,NaN,1.55454931e+03,NaN,1.35966682e+03,NaN,1.35998106e+03,NaN,1.53740675e+03,9.53946305e+02,7.51743962e+02,7.79281680e+02,1.22253823e+01,1.32997447e+00,1.06952869e+01,NaN,1.50982682e+01,NaN,-1.04661203e+01,NaN,-8.95932625e+00,NaN,1.12231487e+01,6.87429446e+00,2.38264496e+01,1.29310418e+01,1.28512864e+01,2.12623220e+00,8.29020699e+00,NaN,9.01678164e+00,NaN,7.67717681e+00,NaN,7.53603877e+00,NaN,8.38537731e+00,7.43793065e+00,2.35563776e+01,1.28313234e+01,-2.29128638e+00,3.87376780e+00,1.55003207e+03,3.57669401e+00,1.36490363e+03,-5.23681567e+00,1.53281709e+03,4.58965686e+00,4.32921336e+00,-6.62049974e+00,3.20688908e+00,6.66878725e-01,9.55979382e+02,-2.03307756e+00,7.76367352e+02,2.91432812e+00,6.89678080e+00,6.79695319e+00
"2014Q3",7.63500000e+01,6.51897182e+06,1.84733000e+03,1.20800000e+01,8.00000000e+00,1.43448100e+04,9.85000000e+01,6.00000000e+00,NaN,NaN,6.51897182e+06,1.10319769e+06,NaN,NaN,1.10319769e+06,5.41577414e+06,7.67889103e+01,9.88118047e+01,5.98458049e+06,NaN,5.97763797e+06,NaN,1.02517345e+06,NaN,1.01686896e+06,NaN,4.99157114e+06,1.42281005e+04,1.84992802e+03,4.34106023e+02,4.59321708e+02,1.56046968e+03,NaN,1.56035361e+03,NaN,1.38403724e+03,NaN,1.38322388e+03,NaN,1.54232613e+03,9.56297420e+02,7.52290201e+02,7.77505886e+02,1.09477097e+01,1.65957756e+00,2.74436528e+01,NaN,2.32171728e+01,NaN,9.74816748e+01,NaN,9.29712965e+01,NaN,1.96775185e+01,9.40445930e+00,2.18495527e+00,-7.10317684e+00,1.27219571e+01,1.88403162e+00,9.51301178e+00,NaN,9.30328424e+00,NaN,3.01600269e+01,NaN,3.01509700e+01,NaN,6.02228425e+00,6.86622598e+00,1.63981687e+01,5.56024318e+00,-6.41957111e-01,4.11596838e+00,1.55164065e+03,8.82903467e+00,1.36750173e+03,1.65355088e+01,1.53423721e+03,8.08891634e+00,4.66211505e+00,-5.30407216e+00,3.19101214e+00,9.24956246e-01,9.58686932e+02,-2.38951250e+00,7.78050855e+02,-5.44969887e-01,6.43429019e+00,6.73401518e+00
"2014Q4",7.80700000e+01,6.15511392e+06,1.87090333e+03,1.21200000e+01,8.00000000e+00,1.58815700e+04,9.88333333e+01,5.60000000e+00,NaN,NaN,6.15511392e+06,1.16072028e+06,NaN,NaN,1.16072028e+06,4.99439365e+06,7.85506839e+01,9.90136794e+01,5.68238406e+06,NaN,5.61751093e+06,NaN,9.48464290e+05,NaN,9.55115604e+05,NaN,4.71219887e+06,1.45112727e+04,1.84927683e+03,4.36374407e+02,4.59525802e+02,1.55528814e+03,NaN,1.55413992e+03,NaN,1.37625994e+03,NaN,1.37695877e+03,NaN,1.53656652e+03,9.58268105e+02,7.52254994e+02,7.75406388e+02,9.07353559e+00,8.16375054e-01,-2.07261474e+01,NaN,-2.48547327e+01,NaN,-3.11091819e+01,NaN,-2.50604631e+01,NaN,-2.30384271e+01,7.88274351e+00,-1.40827986e-01,-8.39798852e+00,1.08022394e+01,1.34983080e+00,5.17528285e+00,NaN,4.48482527e+00,NaN,1.30746254e+01,NaN,1.33337074e+01,NaN,3.26459781e+00,7.13216339e+00,9.54907262e+00,9.66639744e-02,1.31776055e+00,4.25016920e+00,1.55313788e+03,2.15026623e+00,1.36992465e+03,6.33529643e+00,1.53555815e+03,1.00837385e+00,5.00891847e+00,-3.69115792e+00,3.16412995e+00,1.08603925e+00,9.61363933e+02,-3.09582716e+00,7.79718671e+02,-4.31228209e+00,5.98892642e+00,6.67126031e+00
"2015Q1",7.97000000e+01,4.19364080e+06,1.96022333e+03,1.30600000e+01,7.00000000e+00,1.32883800e+04,9.99000000e+01,5.35000000e+00,NaN,NaN,4.19364080e+06,7.41298800e+05,4.19364080e+06,7.41298800e+05,7.41298800e+05,3.45234200e+06,7.93913776e+01,9.92320129e+01,5.65424014e+06,NaN,5.66883158e+06,5.57523998e+06,9.32895775e+05,NaN,9.30066333e+05,9.24368009e+05,4.71581047e+06,1.46416192e+04,1.94370452e+03,4.37438977e+02,4.59746067e+02,1.55479163e+03,NaN,1.55504936e+03,1.55338459e+03,1.37460488e+03,NaN,1.37430112e+03,1.37368655e+03,1.53664314e+03,9.59162338e+02,7.57235098e+02,7.79542188e+02,4.25827856e+00,8.81062491e-01,-1.98605689e+00,NaN,3.63774227e+00,NaN,-6.62026221e+00,NaN,-1.06305900e+01,NaN,3.06457382e-01,3.57693183e+00,1.99204156e+01,1.65431995e+01,9.12622652e+00,1.17174739e+00,3.85668388e+00,NaN,4.27461264e+00,NaN,1.23215276e+01,NaN,1.20802293e+01,NaN,2.04217436e+00,6.93460728e+00,1.14477481e+01,3.49326898e+00,3.93377348e+00,4.17825261e+00,1.55453357e+03,2.58061495e-01,1.37215228e+03,2.45259296e+00,1.53679554e+03,-1.52402096e-01,5.35857449e+00,-1.42480101e+00,3.12658601e+00,1.05166660e+00,9.64014715e+02,-4.85237637e+00,7.81370502e+02,-1.82831374e+00,5.58276205e+00,6.60732613e+00
